Name,Lat,Lng,Address,Features,Agoda
Marunouchi Blend Lab,35.6812,139.7671,"Tokyo, Marunouchi","Specialty coffee | Wi-Fi | Power outlets",
Shinjuku South Latte Lab,35.6895,139.7005,"Tokyo, Shinjuku","Third wave espresso | Quiet seats | Laptop friendly",
Patisserie Bloom Ginza,35.6718,139.7645,"Tokyo, Ginza","Dessert pairing | Stylish interior | English menu",
Origin Lab Roppongi,35.6655,139.7293,"Tokyo, Roppongi","Single origin beans | Late hours | Cozy lighting",
Shibuya Morning Club,35.6581,139.7017,"Tokyo, Shibuya","Brunch set | Fast Wi-Fi | Tourist friendly",
Ueno Parkside Drip,35.7089,139.7310,"Tokyo, Ueno","Pour-over bar | Calm vibe | Window seats",
Sun City Espresso Ikebukuro,35.7289,139.7101,"Tokyo, Ikebukuro","House roast | Group tables | Easy access",
Harmonica Coffee Terrace,35.7004,139.5803,"Tokyo, Kichijoji","Garden terrace | Hand drip | Family friendly",
Takeshita Latte Stand,35.6702,139.7026,"Tokyo, Harajuku","Signature latte | Dessert cafe | Photo spot",
Ebisu Workbench Cafe,35.6467,139.7100,"Tokyo, Ebisu","Work-friendly layout | Stable internet | Morning open",
Toyosu Blue Table,35.6244,139.7757,"Tokyo, Toyosu","Scenic waterfront | Espresso tonic | Relaxed music",
Nomad Desk Nishi-Shinjuku,35.6938,139.7034,"Tokyo, Nishi-Shinjuku","Cowork-friendly | Charging stations | Long stay",
Kissa Retro Otsuka,35.7321,139.7135,"Tokyo, Otsuka","Vintage ambiance | Manual brew | Quiet corners",
Hibiya Standing Espresso,35.6841,139.7519,"Tokyo, Hibiya","Business district cafe | Fast service | Good pastries",
Komachi Kissaten Asakusa,35.6992,139.8135,"Tokyo, Asakusa","Traditional kissaten style | Retro interior | Local snacks",
Skytree Blend Sumida,35.7107,139.8107,"Tokyo, Sumida","Tokyo Skytree view | House blend | Family tables",
Senju Study Base,35.7520,139.8475,"Tokyo, Kitasenju","Affordable drip | Study seats | Neighborhood vibe",
Shinagawa Early Bird Coffee,35.6380,139.7414,"Tokyo, Shinagawa","Transit hub cafe | Early opening | Quick grab",
Haneda Route Cafe,35.6131,139.7774,"Tokyo, Ota","Airport route stop | Spacious seating | English support",
Azabu Hill Roasters,35.6664,139.7320,"Tokyo, Azabu","Premium beans | Date-night mood | Artisan desserts",
Umeda Clockwork Coffee,34.7025,135.4959,"Osaka, Umeda","Specialty coffee | Wi-Fi | Power outlets",
Kuromon Pour Namba,34.6687,135.5012,"Osaka, Namba","Third wave espresso | Quiet seats | Laptop friendly",
Neon Latte Dotonbori,34.6658,135.5031,"Osaka, Dotonbori","Dessert pairing | Stylish interior | English menu",
Kyobashi Bridge Blend,34.6873,135.5262,"Osaka, Kyobashi","Single origin beans | Late hours | Cozy lighting",
Shinsaibashi Parlor,34.6766,135.4979,"Osaka, Shinsaibashi","Brunch set | Fast Wi-Fi | Tourist friendly",
Fukushima Taproom Cafe,34.6922,135.4911,"Osaka, Fukushima","Pour-over bar | Calm vibe | Window seats",
Tenma Market Coffee,34.7059,135.5071,"Osaka, Tenjinbashisuji","House roast | Group tables | Easy access",
Tennoji Park Cafe Kin,34.6508,135.5207,"Osaka, Tennoji","Garden terrace | Hand drip | Family friendly",
Tsuki Coffee Abeno,34.6462,135.5148,"Osaka, Abeno","Signature latte | Dessert cafe | Photo spot",
Nishi Yodogawa Coffee Lab,34.6723,135.4842,"Osaka, Nishi","Work-friendly layout | Stable internet | Morning open",
Osaka Castle Moat Cafe,34.6785,135.5289,"Osaka, Morinomiya","Scenic park edge | Espresso tonic | Relaxed music",
Juso Night Owl Espresso,34.7140,135.5314,"Osaka, Juso","Cowork-friendly | Charging stations | Long stay",
Shin-Osaka Transit Roasters,34.7198,135.5029,"Osaka, Shin-Osaka","Transit hub cafe | Fast service | Good pastries",
Bentencho Wharf Kissaten,34.6792,135.4703,"Osaka, Bentencho","Traditional kissaten style | Retro interior | Local snacks",
ATC Bay View Cafe,34.6571,135.4427,"Osaka, Nanko","Waterfront view | House blend | Family tables",
Nakanoshima River Roast,34.6975,135.5152,"Osaka, Nakanoshima","Affordable drip | Study seats | Neighborhood vibe",
Sakuragawa Alley Coffee,34.6629,135.4871,"Osaka, Sakuragawa","Premium beans | Date-night mood | Artisan desserts",
Nakatsu Morning Roastery,34.7074,135.4898,"Osaka, Nakatsu","Business district cafe | Early opening | Quick grab",
Hommachi Minimal Drip,34.6848,135.5038,"Osaka, Hommachi","Manual brew station | Minimalist decor | Quiet floor",
Tanimachi Bean Library,34.6712,135.5200,"Osaka, Tanimachi","Roastery attached | Bean tasting | Expert baristas",
Gion Yasaka Blend,35.0116,135.7681,"Kyoto, Gion","Specialty coffee | Wi-Fi | Power outlets",
