id,topic_en,topic_ko,keywords
guide_001,"Best Specialty Cafes in Tokyo (2026)","2026 Tokyo specialty cafe guide (KO)","tokyo specialty cafe guide"
guide_002,"Best Dessert Cafes in Tokyo for Travelers","Tokyo dessert cafe guide (KO)","tokyo dessert cafe"
guide_003,"Quiet Work-Friendly Cafes in Tokyo","Tokyo laptop friendly cafe (KO)","tokyo work cafe wifi"
guide_004,"Hidden Vintage Cafes in Tokyo Neighborhoods","Tokyo vintage cafe route (KO)","tokyo vintage kissaten"
guide_005,"Best Cafes Near Shinjuku Station","Shinjuku station cafe picks (KO)","shinjuku cafe near station"
guide_006,"Best Cafes Near Shibuya Crossing","Shibuya crossing cafe picks (KO)","shibuya cafe guide"
guide_007,"Best Cafes in Harajuku and Omotesando","Harajuku Omotesando cafe map (KO)","harajuku omotesando cafe"
guide_008,"Best Cafes in Ginza for First-Time Visitors","Ginza first timer cafe guide (KO)","ginza cafe travel"
guide_009,"Tokyo Kissaten Culture for EN/KO Travelers","Tokyo kissaten culture basics (KO)","tokyo kissaten culture"
guide_010,"How to Order Coffee in Japanese: Useful Phrases","Japanese coffee order phrases (KO)","japanese cafe phrases"
guide_011,"Best Cafes in Osaka Umeda Area","Osaka Umeda cafe picks (KO)","osaka umeda cafe"
guide_012,"Best Cafes in Osaka Namba Area","Osaka Namba cafe picks (KO)","osaka namba cafe"
guide_013,"Best Cafes Around Dotonbori","Dotonbori nearby cafes (KO)","dotonbori cafe guide"
guide_014,"Best Work Cafes in Osaka with Wi-Fi","Osaka work cafe list (KO)","osaka work cafe wifi"
guide_015,"Osaka Roastery Cafes You Should Try","Osaka roastery cafes (KO)","osaka roastery coffee"
guide_016,"Best Late-Night Cafes in Osaka","Osaka late night cafe (KO)","osaka late cafe"
guide_017,"Minimalist Cafes in Osaka for Quiet Time","Osaka quiet minimalist cafe (KO)","osaka quiet cafe"
guide_018,"Best Cafes Near Shin-Osaka Station","Shin-Osaka station cafes (KO)","shin osaka cafe"
guide_019,"One-Day Osaka Cafe Hopping Route","Osaka one day cafe route (KO)","osaka cafe hopping"
guide_020,"Family-Friendly Cafes in Osaka","Osaka family cafe picks (KO)","osaka family cafe"
guide_021,"Best Cafes in Kyoto Gion District","Kyoto Gion cafe guide (KO)","kyoto gion cafe"
guide_022,"Best Cafes in Kyoto Kawaramachi","Kyoto Kawaramachi cafes (KO)","kyoto kawaramachi cafe"
guide_023,"Kyoto Traditional Kissaten Guide","Kyoto traditional kissaten (KO)","kyoto kissaten"
guide_024,"Scenic Riverside Cafes in Kyoto","Kyoto river view cafes (KO)","kyoto scenic cafe"
guide_025,"Best Matcha Dessert Cafes in Kyoto","Kyoto matcha cafe guide (KO)","kyoto matcha dessert cafe"
guide_026,"Best Cafes Near Kiyomizu-dera","Kiyomizu temple nearby cafes (KO)","kiyomizudera cafe"
guide_027,"Best Cafes Near Fushimi Inari","Fushimi Inari nearby cafes (KO)","fushimi inari cafe"
guide_028,"Quiet Study Cafes in Kyoto","Kyoto study cafe picks (KO)","kyoto study cafe wifi"
guide_029,"One-Day Kyoto Cafe and Temple Route","Kyoto cafe temple route (KO)","kyoto cafe itinerary"
guide_030,"Best Roastery Cafes in Kyoto","Kyoto roastery cafe picks (KO)","kyoto roastery coffee"
guide_031,"Best Cafes in Fukuoka Tenjin","Fukuoka Tenjin cafes (KO)","fukuoka tenjin cafe"
guide_032,"Best Cafes in Fukuoka Hakata","Fukuoka Hakata cafes (KO)","fukuoka hakata cafe"
guide_033,"Ocean-View Cafes in Fukuoka","Fukuoka ocean view cafe (KO)","fukuoka scenic cafe"
guide_034,"Work-Friendly Cafes in Fukuoka","Fukuoka laptop cafe guide (KO)","fukuoka work cafe"
guide_035,"Best Specialty Coffee in Fukuoka","Fukuoka specialty coffee (KO)","fukuoka specialty cafe"
guide_036,"Late Opening Cafes in Fukuoka","Fukuoka late opening cafe (KO)","fukuoka late cafe"
guide_037,"Local Favorite Cafes in Fukuoka","Fukuoka local favorite cafes (KO)","fukuoka local cafe"
guide_038,"Best Cafes Near Ohori Park","Ohori park nearby cafes (KO)","ohori park cafe"
guide_039,"One-Day Fukuoka Cafe Hopping Plan","Fukuoka cafe hopping plan (KO)","fukuoka cafe route"
guide_040,"Best Dessert Cafes in Fukuoka","Fukuoka dessert cafe guide (KO)","fukuoka dessert cafe"
guide_041,"Best Cafes in Sapporo Odori","Sapporo Odori cafes (KO)","sapporo odori cafe"
guide_042,"Best Cafes in Sapporo Susukino","Sapporo Susukino cafes (KO)","sapporo susukino cafe"
guide_043,"Warm Winter Cafes in Sapporo","Sapporo winter cafe guide (KO)","sapporo winter cafe"
guide_044,"Best Roastery Cafes in Sapporo","Sapporo roastery cafes (KO)","sapporo roastery"
